price,address,region,rooms,area,floor
15 000 грн/міс,"Юлії Здановської вул. (Ломоносова), 85",Київ Голосіївський р-н,1 кімната,43 / 18 / 12 м²,поверх 10 з 25
15 000 грн/міс,"Глушкова академіка просп., 9-г",Київ Голосіївський р-н,1 кімната,52 / 20 / 16 м²,поверх 24 з 25
17 000 грн/міс,"Юнацька вул., 19",Київ Солом'янський р-н,1 кімната,45 / 25 / 15 м²,поверх 6 з 10
2 000 $/міс,"Микільсько-Слобідська вул., 3А",Київ Дніпровський р-н,3 кімнати,118 / 72 / 25 м²,поверх 26 з 30
2 500 $/міс,"Михайла Бойчука вул. (Кіквідзе), 41",Київ Печерський р-н,2 кімнати,89 / 50 / 15 м²,поверх 19 з 26
23 500 грн/міс,"Паньківська вул., 27/78",Київ Голосіївський р-н,2 кімнати,50 / 12 / 25 м²,поверх 10 з 13
800 $/міс,"Джона Маккейна вул. (Кудрі Івана), 7",Київ Печерський р-н,1 кімната,43 / 24 / 10 м²,поверх 12 з 24
15 000 грн/міс,"Автозаводська вул., 81",Київ Оболонський р-н,3 кімнати,90 / 44 / 13 м²,поверх 10 з 16
850 $/міс,"Жилянська вул., 68",Київ Голосіївський р-н,1 кімната,40 / 20 / 12 м²,поверх 9 з 24
2 000 $/міс,"Іоана Павла II вул. (Лумумби Патріса), 12",Київ Печерський р-н,2 кімнати,84 / 58 / 25 м²,поверх 11 з 31
1 800 $/міс,"Лесі Українки бульв., 7-В",Київ Печерський р-н,2 кімнати,62 / 28 / 23 м²,поверх 4 з 31
1 800 $/міс,"Лесі Українки бульв., 7в",Київ Печерський р-н,2 кімнати,65 / 30 / 25 м²,поверх 4 з 31
1 300 $/міс,"Саксаганського вул., 37К",Київ Голосіївський р-н,1 кімната,65 / 20 / 25 м²,поверх 8 з 30
1 900 $/міс,"Гоголівська вул., 30",Київ Шевченківський р-н,3 кімнати,110 / 70 / 15 м²,поверх 5 з 5
7 000 грн/міс,"Кубанської України вул. (Жукова маршала), 33",Київ Деснянський р-н,2 кімнати,43.8 / 28.4 / 6.8 м²,поверх 3 з 9
2 000 $/міс,"Бульварно-Кудрявська вул. (Воровського), 36",Київ Шевченківський р-н,5 кімнат,270 / 200 / 20 м²,поверх 5 з 16
2 500 $/міс,"Звіринецька вул., 59",Київ Печерський р-н,3 кімнати,161 / 80 / 50 м²,поверх 7 з 25
1 000 $/міс,"Бажана Миколи просп., 10",Київ Дарницький р-н,3 кімнати,118 / 80 / 20 м²,поверх 23 з 24
1 000 $/міс,"Предславинська вул., 57",Київ Печерський р-н,2 кімнати,55 / 25 / 20 м²,поверх 4 з 12
1 000 $/міс,"Предславинська вул., 57",Київ Печерський р-н,2 кімнати,54 / 20 / 20 м²,поверх 4 з 12
600 $/міс,"Правди просп., 41е",Київ Подільський р-н,1 кімната,43 / 16 / 13 м²,поверх 12 з 23
600 $/міс,"Правди просп., 41е",Київ Подільський р-н,1 кімната,43 / 14 / 20 м²,поверх 12 з 20
22 000 грн/міс,"Правди просп., 41Є",Київ Подільський р-н,1 кімната,43 / 16 / 20 м²,поверх 12 з 20
1 200 $/міс,"Драгомирова вул., 17",Київ Печерський р-н,2 кімнати,60 / 20 / 12 м²,поверх 3 з 29
1 000 $/міс,"Василя Тютюнника вул. (Барбюса Анрі), 51",Київ Печерський р-н,3 кімнати,82 / 60 / 12 м²,поверх 2 з 22
5 000 $/міс,"Деміївська вул., 33",Київ Голосіївський р-н,5 кімнат,170 / 100 / 50 м²,поверх 16 з 21
1 000 $/міс,"Берестейський просп. (Перемоги), 5В",Київ Шевченківський р-н,1 кімната,45 / 30 / 10 м²,поверх 33 з 34
1 600 $/міс,"Зарічна вул., 1Б",Київ Дарницький р-н,3 кімнати,118 / 50 / 30 м²,поверх 19 з 24
650 $/міс,"Драгомирова вул., 12",Київ Печерський р-н,1 кімната,50 / 28 / 15 м²,поверх 10 з 17
20 000 грн/міс,"Дніпровська наб., 26г",Київ Дарницький р-н,2 кімнати,83 / 40 / 13 м²,поверх 11 з 25
1 500 $/міс,"Окіпної Раїси вул., 10а",Київ Дніпровський р-н,4 кімнати,145 / 70 / 26 м²,поверх 17 з 23
1 100 $/міс,"Оболонський просп., 1 к1",Київ Оболонський р-н,3 кімнати,66 / 22 / 30 м²,поверх 17 з 26
1 600 $/міс,"Драгомирова вул., 15б",Київ Печерський р-н,2 кімнати,55 / 30 / 15 м²,поверх 6 з 18
900 $/міс,"Іринінська вул., 1/3",Київ Шевченківський р-н,3 кімнати,80 / 50 / 25 м²,поверх 9 з 9
22 000 грн/міс,"Мечникова вул., 7а",Київ Печерський р-н,3 кімнати,60 / 34 / 9 м²,поверх 6 з 9
2 200 $/міс,"Драгомирова вул., 14",Київ Печерський р-н,4 кімнати,160 / 100 / 40 м²,поверх 9 з 17
3 500 $/міс,"Філатова академіка пров., 2/1",Київ Печерський р-н,4 кімнати,180 / 90 / 25 м²,поверх 13 з 14
3 500 $/міс,"Деміївська вул., 33",Київ Голосіївський р-н,4 кімнати,120 / 83 / 20 м²,поверх 10 з 21
2 500 $/міс,"Драгомирова вул., 15Б",Київ Печерський р-н,3 кімнати,85 / 50 / 15 м²,поверх 16 з 20
2 400 $/міс,"Драгомирова вул., 5",Київ Печерський р-н,3 кімнати,150 / 128 / 22 м²,поверх 11 з 18
18 000 грн/міс,"Хорива вул., 43",Київ Подільський р-н,1 кімната,45 / 21 / 7 м²,поверх 4 з 5
20 000 грн/міс,"Гришка Михайла вул., 9",Київ Дарницький р-н,3 кімнати,97 / 54 / 15 м²,поверх 14 з 34
13 000 грн/міс,"Правди просп., 45а",Київ Подільський р-н,1 кімната,40 / 17 / 10 м²,поверх 20 з 24
3 000 $/міс,"Городецького архітектора вул., 11А",Київ Печерський р-н,3 кімнати,150 / 90 / 30 м²,поверх 5 з 6
1 300 $/міс,"Драгомирова вул., 19а",Київ Печерський р-н,2 кімнати,60 / 30 / 15 м²,поверх 4 з 24
1 000 $/міс,"Предславинська вул., 57",Київ Печерський р-н,2 кімнати,50 / 23 / 16 м²,поверх 7 з 9
2 100 $/міс,"Деміївська вул., 29",Київ Голосіївський р-н,3 кімнати,105 / 40 / 40 м²,поверх 11 з 25
12 000 грн/міс,"Сім’ї Кульженків вул. (Дехтяренка Петра), 33",Київ Оболонський р-н,1 кімната,46 / 18 / 14 м²,поверх 21 з 25
2 000 $/міс,"Ділова вул., 2Б",Київ Печерський р-н,2 кімнати,78 / 55 / 20 м²,поверх 20 з 25
750 $/міс,"Євгена Сверстюка вул. (Раскової Марини), 6",Київ Дніпровський р-н,3 кімнати,70 / 40 / 20 м²,поверх 14 з 18
2 000 $/міс,"Лесі Українки бульв., 7-В",Київ Печерський р-н,3 кімнати,86 / 44 / 25 м²,поверх 12 з 32
14 000 грн/міс,"Івана Світличного вул. (Петровського), 10",Київ Солом'янський р-н,3 кімнати,70 / 35 / 20 м²,поверх 2 з 5
20 000 грн/міс,"Михайла Омеляновича-Павленка вул. (Суворова), 11",Київ Печерський р-н,3 кімнати,80 / 53 / 10 м²,поверх 5 з 13
18 000 грн/міс,"Максимовича вул. (Трутенка Онуфрія), 26",Київ Голосіївський р-н,2 кімнати,45 / 20 / 20 м²,поверх 6 з 14
12 000 грн/міс,"Празька вул., 22",Київ Дніпровський р-н,3 кімнати,60 / 40 / 10 м²,поверх 4 з 9
2 500 $/міс,"Михайла Бойчука вул. (Кіквідзе), 41а",Київ Печерський р-н,2 кімнати,89 / 50 / 15 м²,поверх 19 з 26
18 500 грн/міс,"Максимовича вул. (Трутенка Онуфрія), 28б",Київ Голосіївський р-н,2 кімнати,46 / 20 / 6 м²,поверх 6 з 14
1 200 $/міс,"Миколи Міхновського бульв. (Дружби Народів), 14-16",Київ Печерський р-н,3 кімнати,106 / 90 / 15 м²,поверх 23 з 24
20 000 грн/міс,"Науки просп., 80-А/73",Київ Голосіївський р-н,2 кімнати,60.1 / 50.1 / 10 м²,поверх 2 з 16
17 500 грн/міс,"Максимовича вул. (Трутенка Онуфрія), 26",Київ Голосіївський р-н,2 кімнати,45 / 12 / 16 м²,поверх 6 з 16
